,0
0,1806.03114
1,1510.09171
2,2006.07292
3,1805.04713
4,2001.07629
5,2002.09315
6,2005.09623
7,1508.00488
8,1710.05231
9,1803.03352
10,1707.05050
11,1703.05332
12,1101.0698
13,1605.00372
14,1804.11243
15,1906.01118
16,1907.04957
17,1906.03847
18,1802.07859
19,1209.4997
20,2006.05852
21,1811.06094
22,1708.06276
23,1903.04666
24,0910.2849
25,1409.7618
26,1704.03155
27,1705.07400
28,0802.1361
29,1910.11758
30,2005.00031
31,1408.0467
32,2003.12250
33,1306.5781
34,1602.02332
35,1910.00523
36,1808.10240
37,1610.06006
38,2004.03287
39,1911.04679
40,1903.00543
41,1802.04365
42,1910.13297
43,1910.13638
44,1710.07282
45,2005.10243
46,1702.07703
47,1901.01292
48,1709.04636
49,1512.08230
50,1806.01427
51,1709.03947
52,1306.1031
53,1304.6108
54,1905.06186
55,1807.08456
56,cs0405002
57,1711.11243
58,1209.5803
59,2001.06828
60,2001.05238
61,1709.09239
62,1907.06487
63,1508.05657
64,1610.09322
65,1307.5057
66,1710.10093
67,1506.06162
68,1711.01097
69,1604.06650
70,1108.5860
71,1504.04720
72,1904.12240
73,1407.5616
74,1911.03677
75,1410.2910
76,1806.07042
77,1702.01932
78,1909.10128
79,1111.0054
80,1808.09810
81,0810.1655
82,1810.12655
83,1605.08357
84,1706.01869
85,1908.09152
86,1506.06138
87,2007.10213
88,2004.00353
89,1401.0180
90,1905.09368
91,1804.06353
92,1809.00152
93,1609.03537
94,1806.08723
95,1804.06129
96,1905.10731
97,1710.01431
98,1809.05020
99,1704.06440
100,cs0405071
101,2005.13811
102,1612.02814
103,1909.12066
104,2003.00923
105,1911.02067
106,1606.01289
107,1706.00931
108,1609.03024
109,1512.01815
110,2002.07752
111,1903.00156
112,2004.07678
113,1711.00558
114,2002.00690
115,0912.2846
116,1608.01807
117,1902.10659
118,1304.4327
119,1902.00133
120,1912.02254
121,1510.01155
122,1512.03880
123,1310.3233
124,1711.03368
125,1811.01759
126,2002.10295
127,1311.5735
128,1805.11178
129,1610.01283
130,1310.0398
131,1110.2136
132,1912.05421
133,1507.06141
134,1812.10189
135,1603.01911
136,1705.10301
137,2007.08410
138,1909.00952
139,1702.06902
140,cs0505018
141,1905.05313
142,1905.08027
143,2007.00938
144,1406.5886
145,1804.00891
146,1501.03545
147,1808.06298
148,1511.06668
149,1704.06497
150,2007.03656
151,1702.08557
152,2005.13107
153,1711.05074
154,1504.07862
155,1811.07234
156,1304.1014
157,1805.01344
158,1907.12659
159,1805.10341
160,2006.05078
161,1603.06042
162,2001.11570
163,1502.00096
164,1803.01112
165,1809.07238
166,1710.10951
167,1604.08464
168,1908.06482
169,1705.05987
170,1909.00156
171,1407.2970
172,1808.09129
173,1707.04310
174,1804.08199
175,1803.07033
176,1804.06612
177,1803.04346
178,1805.02651
179,1305.0943
180,1904.10007
181,1705.07957
182,1703.03166
183,1909.07576
184,1909.02117
185,2001.03538
186,1611.08134
187,1911.11489
188,1706.08928
189,1803.04311
190,2003.07842
191,1810.05587
192,0804.1409
193,1902.01177
194,1911.04044
195,1908.01981
196,1701.05596
197,1607.02233
198,1804.02760
199,1703.04307
200,1506.01597
201,1911.08829
202,1603.02298
203,1801.00820
204,1807.01417
205,1811.03402
206,1008.4747
207,2002.10803
208,1906.00486
209,1505.02799
210,1608.05343
211,1210.1766
212,1604.01319
213,1604.07269
214,2004.08488
215,1901.06631
216,1607.00656
217,1803.09533
218,1701.05420
219,1702.01452
220,0710.1920
221,2002.02405
222,1502.04652
223,1610.07497
224,1707.08747
225,1911.05206
226,1905.10817
227,1706.05975
228,1912.07123
229,1801.01632
230,1511.09319
231,2006.14172
232,1910.03880
233,1903.09916
234,1911.10367
235,1906.05831
236,2003.04046
237,1912.00533
238,1608.06770
239,1604.02971
240,1612.02696
241,1406.4799
242,1902.04919
243,1911.00384
244,2006.16147
245,1610.03298
246,1510.01784
247,1808.05215
248,1909.10200
249,2003.13205
250,2005.10009
251,1408.7071
252,1110.2196
253,1710.11198
254,2001.05275
255,1806.09936
256,1910.12193
257,1701.00860
258,1503.08141
259,1911.01944
260,1912.05278
261,1908.07630
262,1804.09468
263,1908.11487
264,1607.02310
265,1911.08926
266,2007.01601
267,1602.02220
268,1902.07556
269,0907.5397
270,1906.04709
271,2003.10208
272,1704.07935
273,1309.2080
274,1707.09406
275,1805.08302
276,1502.02908
277,1605.02423
278,1506.00842
279,1903.03218
280,1003.0588
281,1612.02103
282,1507.05890
283,1706.04404
284,1710.06481
285,1712.04965
286,1901.01695
287,2006.03069
288,1805.01328
289,1910.07441
290,1611.04934
291,1905.06627
292,1504.00513
293,1709.09713
294,1705.00154
295,1403.5718
296,1210.0297
297,2004.10263
298,1901.08025
299,1901.06799
300,1804.05813
301,1612.07139
302,2006.04489
303,1701.06528
304,1811.05113
305,1910.12562
306,2007.13960
307,1710.03600
308,1811.04212
309,1511.02615
310,2005.11016
311,1901.02571
312,1703.02905
313,1804.07258
314,1811.12377
315,1908.04121
316,1807.05093
317,1804.07882
318,1908.01328
319,1702.02530
320,1809.06269
321,1701.08493
322,1910.09281
323,1610.07515
324,1405.0348
325,2003.04529
326,2004.13291
327,1812.00493
328,1708.09107
329,1910.11510
330,1810.08727
331,1509.00764
332,1910.14154
333,1811.08226
334,2001.08557
335,2001.02740
336,1310.2809
337,1708.08151
338,1707.02785
339,1006.3430
340,1803.10892
341,1802.02619
342,1903.11131
343,1905.05961
344,1301.6263
345,0807.1173
346,2007.10734
347,1905.13420
348,1906.04279
349,1904.10157
350,1708.05233
351,1504.06785
352,1811.10439
353,1507.02703
354,1310.4780
355,1004.5026
356,1708.07867
357,1604.04026
358,1503.03537
359,1811.09069
360,1802.09941
361,1705.07632
362,1405.0534
363,1611.09067
364,1808.01974
365,1701.05498
366,1901.09115
367,1906.04334
368,1602.01137
369,1506.06305
370,1904.01730
371,2003.13235
372,1304.5661
373,1703.06423
374,1707.00607
375,1805.11917
376,1905.04827
377,1602.03642
378,1903.01602
379,1904.04072
380,1509.03389
381,2005.00979
382,1907.12431
383,2007.13413
384,1905.09519
385,1509.07466
386,2001.11465
387,1607.06525
388,1903.12536
389,1109.0262
390,1609.06457
391,1403.3894
392,1611.04531
393,1708.03569
394,1906.11541
395,1910.05461
396,1809.04560
397,1602.06904
398,1903.00321
399,1603.00106
400,1405.7714
401,1609.00292
402,1511.06807
403,1703.07748
404,2007.15038
405,2002.00509
406,1509.00728
407,1805.02333
408,1207.6656
409,1804.01465
410,1403.7315
411,1601.06359
412,1711.03634
413,1811.01027
414,1710.08092
415,1702.05413
416,1404.5585
417,1910.06825
418,1609.05796
419,1902.10796
420,1508.03415
421,1910.07728
422,1911.11500
423,1912.08410
424,1809.03101
425,1107.5474
426,1903.03205
427,1609.01926
428,2004.05591
429,1707.05304
430,2007.14579
431,1705.08283
432,1104.0235
433,1903.02679
434,2003.06891
435,2005.12160
436,1707.02286
437,1712.06481
438,1906.06868
439,1907.08093
440,1601.01597
441,1410.3386
442,1811.12083
443,1707.08316
444,1710.04584
445,1905.10328
446,1906.08308
447,1812.00308
448,1405.3865
449,1906.02068
450,1603.09064
451,2002.05014
452,1406.2283
453,1212.1098
454,1803.01384
455,1911.00495
456,2007.04939
457,1701.06600
458,1909.12175
459,1606.06447
460,1701.08935
461,1802.10249
462,1911.10129
463,1509.07395
464,1012.0742
465,1604.01435
466,1505.01085
467,1708.01773
468,2007.14137
469,2005.12110
470,1307.3388
471,1310.5747
472,1804.08766
473,1803.09453
474,2005.06166
475,2001.01007
476,1801.01999
477,1303.4114
478,1810.08799
479,1006.5657
480,1701.02229
481,1303.2054
482,1401.1085
483,1912.12318
484,1806.03863
485,2006.11033
486,1403.3109
487,cs0506022
488,1603.00957
489,2005.03199
490,1809.04010
491,1310.4573
492,1811.10947
493,1702.06439
494,1509.05821
495,1912.07662
496,1804.00306
497,2005.01419
498,1809.05966
499,1306.0539
500,1910.02110
501,1908.11675
502,1412.2859
503,1909.12268
504,1804.09822
505,2002.08032
506,1804.07404
507,1705.09805
508,1805.05396
509,1902.06327
510,2004.04388
511,1305.2319
512,1904.13358
513,1910.13367
514,1811.06011
515,1410.0573
516,2002.03774
517,2007.05220
518,2002.04090
519,1912.09623
520,1402.3022
521,1912.08570
522,1811.09835
523,1510.08012
524,1611.07715
525,1903.03134
526,2002.01277
527,1503.05471
528,1804.10982
529,2007.06633
530,1209.6007
531,1903.05164
532,1101.4749
533,1703.03773
534,1811.09171
535,1811.08951
536,1912.06992
537,2003.02080
538,1906.10173
539,1801.05609
540,1705.11040
541,1605.09653
542,2001.01015
543,1905.09683
544,2006.04528
545,1702.06915
546,1903.03854
547,1805.02334
548,0906.5010
549,2006.04180
550,2006.00101
551,1309.0766
552,2003.05826
553,1801.03239
554,2003.04960
555,1801.07292
556,1611.08272
557,2003.11223
558,1312.0042
559,1410.4963
560,1611.00954
561,1606.04422
562,1507.07697
563,1511.05960
564,1905.06448
565,1904.05526
566,1808.08319
567,1905.10048
568,1907.04797
569,1607.02646
570,2002.04678
571,2004.02166
572,1805.02859
573,1501.04905
574,2004.03456
575,1807.11094
576,1203.0871
577,1810.12171
578,1902.01218
579,1610.06199
580,1710.04246
581,0912.0936
582,2006.01026
583,1912.00321
584,1910.02646
585,1709.06907
586,1411.1919
587,1905.06102
588,1909.06436
589,1807.07186
590,1811.01474
591,1909.03316
592,1611.05742
593,1709.01679
594,1402.0081
595,1303.1093
596,2006.09792
597,1511.01568
598,1701.04189
599,1607.06333
600,2006.10123
601,1811.06444
602,1009.3796
603,1203.3758
604,2005.03787
605,1805.11365
606,1901.02173
607,1612.00567
608,1804.05906
609,1410.0879
610,1311.3121
611,1202.5600
612,1608.06993
613,2004.09450
614,1903.00535
615,1901.00563
616,1906.08524
617,1807.02637
618,1704.02972
619,1612.04530
620,1808.08987
621,2005.14662
622,1909.02549
623,1808.03156
624,1912.07160
625,1909.09735
626,1912.05122
627,1711.09859
628,1804.02717
629,1810.09377
630,1202.3943
631,1706.08507
632,2007.01811
633,1811.07459
634,1204.1568
635,1609.08330
636,1711.01732
637,1109.2656
638,1705.02412
639,1910.06604
640,2006.16387
641,1103.4513
642,1901.06230
643,1501.06625
644,1511.07972
645,1710.00239
646,1709.05380
647,1804.03154
648,2004.08374
649,1904.09375
650,1707.03502
651,1509.00099
652,1905.13428
653,1706.09269
654,1712.07628
655,1601.03896
656,1703.04482
657,1807.04723
658,1709.01308
659,1604.08136
660,1910.09198
661,0909.5458
662,1410.4985
663,1708.03462
664,1301.1392
665,1804.09352
666,1712.00275
667,1606.06237
668,1812.06900
669,1806.06931
670,1705.06431
671,1305.6228
672,2006.02876
673,1810.10933
674,1509.01886
675,1606.02819
676,1611.04503
677,1504.03812
678,1811.01686
679,2004.02105
680,1810.02840
681,1708.04251
682,2003.10413
683,1911.13144
684,1508.04752
685,1910.01957
686,1807.07207
687,1606.00581
688,1505.07922
689,2005.04777
690,1609.05528
691,1511.06973
692,1704.04173
693,1801.02439
694,1909.09502
695,1501.05508
696,2007.08509
697,1406.6012
698,1705.05566
699,1708.09056
700,1901.10074
701,1606.09632
702,1712.07424
703,1812.02245
704,1312.0860
705,1812.04907
706,2006.08020
707,1802.03517
708,1511.00117
709,1611.03811
710,1612.02503
711,1809.09414
